fact_checker,date,location,label,title,explanation,claim_originated_by,url_checker
PesaCheck,2020/04/16 ,Kenya,false,Kenya is offering a COVID-19 mobile data grant to citizens.,The Directorate of Criminal Investigations has flagged the grant as a scam. The site offering the data bundles appears to be a phishing link out to steal personal data.,Website,https://pesacheck.org/hoax-kenya-is-not-offering-a-covid-19-mobile-data-grant-to-citizens-1d0b56095ad5
CheckNews,2020/04/16 ,"France, Hungary, Azerbaijan",false,A viral video show Hungarian policemen throwing old people in trucks to force them to go into quarantine.,It was shot in Azerbaidjan in October 2019.,Facebook,https://www.liberation.fr/checknews/2020/04/16/non-cette-video-ne-montre-pas-des-policiers-hongrois-enlever-des-personnes-agees-pour-les-mettre-en-_1785425
Faktograf,2020/04/16 ,Croatia,false,"The pandemic is a lie, Covid-19 can be cured with vitamin C and Bill Gates is behind it all.",The conspiracy theory is based on numerous false claims.,Facebook post,https://faktograf.hr/2020/04/16/pandemija-nije-laz-iza-koje-stoji-bill-gates-niti-se-covid-19-lijeci-vitaminom-c/?fbclid=IwAR0BkMRTTP1xJ5n_uPgg2nGz1uB0BB3AMYYw4gYFt055UTdc-KDGn5yAOSs
The Quint,2020/04/16 ,India,false,The image is from Gujarat and shows the condition of migrant workers who are stuck due to the lockdown.,The image is being circulated with a misleading claim. It does not show the plight of migrant workers or homeless people in Gujarat but shows Bangladeshi refugees in Malaysia waiting to go back home.,Facebook,https://www.thequint.com/news/webqoof/people-violating-lockdown-in-gujarat-no-image-if-from-malaysia
Agência Lupa,2020/04/16 ,Brazil,false,Eating alkaline foods are an effective treatment against COVID-19. SARS-Cov-2 does not survive when the pH of the body is above 5.5. A few food itens with alkaline pH,"Absolutely none of this is true. There are no researches linking COVID-19 and acidity. The humam body does not have a single pH, different parts of the body have different pH. Eating alkaline food does not affect the pH of the body. And, finally, all the listed food itens, like nearly all food itens, have acidic pH, not alkaline.",WhatsApp,https://piaui.folha.uol.com.br/lupa/2020/04/16/verificamos-ph-alimentos-covid/
AFP,2020/04/16 ,"Burkina Faso, West Africa",false,This picture shows a list of advices given by WHO to prevent and cure COVID-19,This list of alleged medical advices actually gathers several fake informations,Social media,https://factuel.afp.com/cette-liste-daffirmations-et-de-conseils-medicaux-sur-le-coronavirus-est-fausse
LeadStories,2020/04/16 ,United States,false,Hospitals compensated 15% more for COVID-19 patients under the stimulus package and New York City hospitals are inflating their coronavirus numbers.,"There is language in the bill that says hospitals will be compensated 15% more for COVID-19 patients, but there is no evidence to prove that NYC hospitals are inflating their numbers.",facebook,https://leadstories.com/hoax-alert/2020/04/Fact-Check-Some-Hospitals-Compensated-For-COVID-19-Patients-Under-Stimulus-But-NO-Evidence-NYC-Hospitals-Inflating-Coronavirus-Numbers.html
Les Décodeurs,2020/04/16 ,France,mainly false,A canine coronavirus vaccine shows that “something is wrong” in how we are talking about the novel coronavirus.,The canine coronavirus (CCoV) and the current coronavirus (SARS-CoV-2) are two different viruses.,Facebook user,https://www.lemonde.fr/les-decodeurs/article/2020/04/16/ce-vaccin-contre-un-coronavirus-canin-n-a-rien-a-voir-avec-le-sars-cov-2_6036792_4355770.html
Vishvas News,2020/04/16 ,India,false,Police catches coronavirus positive patient on the road.,Mockdrill video in Uttar Pradesh viral in the name of coronavirus.,Facebook post,https://www.vishvasnews.com/politics/fact-check-mockdrill-took-place-in-barabanki-up-people-spread-the-video-with-lies/
BOOM FactCheck,2020/04/16 ,India,false,A police officer in Bihar’s Hajipur jail has been affected with coronavirus.,The video is of a mock drill performed by Bihar's Hajipur police for coronavirus preparedness.,Facebook,https://hindi.boomlive.in/fake-news/mock-drill-video-from-bihar-on-covid-19-preparedness-shared-as-real-7701
FactCrescendo,2020/04/16 ,India,false,Central government rejects Kerala government’s appeal to dispatch planes to retrieve Indian expats stuck in Gulf countries.,"The state government did make a request to MEA but the MEA didn't turn it down as claimed in the post. Since all flights have been suspended due to lock down, planes could not be dispatched but they are still in process to find a way to help lacs of Indians stuck in the Gulf countries. The state government also expressed satisfaction with the ministry's response.",Facebook,https://www.malayalam.factcrescendo.com/a-false-news-propagating-as-the-request-of-kerala-govt-rejected-by-centre-to-repatriate-the-expatriates-from-gulf/
TheJournal.ie,2020/04/16 ,Ireland,false,"Criminals in Ireland are dousing facemasks with chemicals and offering them to people, before robbing them.","There is no evidence of this happening in Ireland. Police say no such incident has been reported and there are no descriptions of such a case in local or national media, or on social media.",Facebook,https://www.thejournal.ie/debunked-facemasks-chemicals-criminals-5074334-Apr2020/
Newtral.es,2020/04/16 ,"Spain, India",false,A group of muslims pray together in roofs breaking the state of alarm in Spain.,"The image was taken in Kuwait, not Spain.",Image via WhatsApp,https://www.newtral.es/la-imagen-de-musulmanes-rezando-en-azoteas-no-esta-hecha-en-espana/20200416/
Dubawa,2020/04/16 ,Ghana,false,"Social media users claimed Ghana did poorly with respect to food distribution amid the COVID-19 season, when compared to Niger, Nigeria and Rwanda.",The photos have been taken out of context. The one purported to have been from Rwanda was originally taken in The Gambia and is a photo of food distributed during Ramadan. The other sets of images also are scenes from Senegal and not Niger or Nigeria as claimed by social media users.,Facebook,https://ghana.dubawa.org/how-pictures-of-food-distribution-taken-out-of-context-were-used-to-ridicule-ghana/
Bolivia Verifica,2020/04/16 ,"Bolivia, Venezuela, Cuba",false,"One photograph of a protest shows how the Bolivian government continues its racist policy of repression, despite the covid-19 pandemic.","The photograph dates back from last year, from a reportage done by newspaper El País.",Alba Ciudad radio - Venezuela,https://boliviaverifica.bo/usan-foto-pasada-para-difundir-informacion-falsa/
FactCrescendo,2020/04/16 ,Sri Lanka,false,"An image claimed to be of an abandoned child, since both his parents were infected with COVID-19.",The images are old and unrelated and are not connected to COVID-19 pandemic.,Facebook,https://srilanka.factcrescendo.com/english/fact-check-this-is-not-a-child-crying-due-to-his-parents-suffering-from-covid-19/
TheJournal.ie,2020/04/16 ,"Ireland, United Kingdom",false,Queen Elizabeth II’s speech to the British people on 5 April was actually recorded a month earlier on 5 March.,"This claim is false. The Queen's message was recorded close to the broadcast date, and not a month in advance.",Facebook,https://www.thejournal.ie/debunk-queen-coronavirus-speech-date-5069735-Apr2020/
PolitiFact,2020/04/16 ,United States,false,"In the United States, there are “360,000 (deaths) a year from swimming pools. But we don’t shut the country down for that.”","According to the CDC, there were 3,709 U.S. deaths from accidental drowning or submersion in 2017. Not all drowning deaths occur in swimming pools. Drowning is not infectious or contagious, and deaths from it are spread over time.",Phil McGraw,https://www.politifact.com/factchecks/2020/apr/17/phil-mcgraw/dr-phils-faulty-point-about-coronavirus-and-swimmi/
PesaCheck,2020/04/16 ,Kenya,false,Kenya is offering a COVID-19 mobile data grant to citizens.,The Directorate of Criminal Investigations has flagged the grant as a scam. The site offering the data bundles appears to be a phishing link out to steal personal data.,Website,https://pesacheck.org/hoax-kenya-is-not-offering-a-covid-19-mobile-data-grant-to-citizens-1d0b56095ad5
The Quint,2020/04/16 ,India,false,"A man was beaten by the cops in Dehradun, India after he violated the lockdown norms and came out to spit on people’s doors and handles.","The man, seen in the video, was beaten up by the cops because he violated the lockdown norms. However the police denied any communal angle and said that the video is being shared with a false claim.",Facebook,https://www.thequint.com/news/webqoof/video-of-man-violating-coronavirus-lockdown-in-dehradun-given-a-communal-spin-fact-check
PesaCheck,2020/04/16 ,"Kenya, Libya",false,Some countries throw Covid-19 infected dead bodies into the seas.,The video is from the Libyan coast where bodies of African immigrants were washed ashore from a shipwreck in 2014.,Facebook,https://pesacheck.org/false-this-video-does-not-show-bodies-of-covid-19-victims-dumped-into-the-sea-fd35c34a0e68
Agência Lupa,2020/04/16 ,Brazil,false,A poll with doctors from 30 different countries confirm that chloroquine is the most effective treatment against COVID-19.,"The poll the post refers to shows that azithromycin is the most popular treatment for COVID-19, while plasma from cured patients is viewed as the most effective. Hydroxychloroquine and Chloroquine are in both lists, but not on top.",Facebook Post,https://piaui.folha.uol.com.br/lupa/2020/04/16/verificamos-medicos-30-paises-eficacia-cloroquina/?fbclid=IwAR0C4HGkHXPlY9NDQkJ1EEddRxkIeG2Bd-OG431-aiVty6EmsvjxJUhZeyc
Les Décodeurs,2020/04/16 ,France,mainly false,A canine coronavirus vaccine shows that “something is wrong” in how we are talking about the novel coronavirus.,The canine coronavirus (CCoV) and the current coronavirus (SARS-CoV-2) are two different viruses.,Facebook user,https://www.lemonde.fr/les-decodeurs/article/2020/04/16/ce-vaccin-contre-un-coronavirus-canin-n-a-rien-a-voir-avec-le-sars-cov-2_6036792_4355770.html
Chequeado,2020/04/16 ,Argentina,false,The 40% of the Italian Hospital staff is infected with coronavirus,"The hospital confirmed 19 positive cases, but this does not represent 40% of its staff.",News site,https://chequeado.com/el-explicador/es-falso-que-el-40-del-personal-del-hospital-italiano-este-contagiado-de-coronavirus/
